UserId,UserName,Date,Location,PostId,TagId,TagName
"7232508","q-l-p","2018-05-14 17:46:14","","535","16","python"
"6475535","Konstantin Azizov","2018-06-26 21:22:00","Odessa, Odessa Oblast, Ukraine","1983","16","python"
"1564659","Aminah Nuraini","2018-04-17 11:32:54","Indonesia","8692","16","python"
"1908677","Daniel Hedberg","2018-06-26 14:05:06","Sweden","8948","16","python"
"1217270","Honest Abe","2018-05-12 04:23:09","United States","13857","16","python"
"355230","martineau","2018-06-30 03:23:34","Seattle, WA","19339","16","python"
"578411","rene","2018-06-19 16:14:02","Netherlands","31412","16","python"
"355230","martineau","2018-06-20 19:56:46","Seattle, WA","31875","16","python"
"-1","Community","2018-06-25 12:23:33","on the server farm","32899","16","python"
"2961","Stu Thompson","2018-04-18 13:28:14","San Francisco Bay Area, CA, United States","34079","16","python"
"6862601","codeforester","2018-06-30 20:43:46","California, United States","34439","16","python"
"1424361","Ben McCormick","2018-05-31 18:24:47","Durham, NC","35988","16","python"
"27358","David Moles","2018-06-18 15:08:24","San Francisco, CA","44778","16","python"
"1794","varikin","2018-04-03 01:19:41","United States","44834","16","python"
"12855","SilentGhost","2018-05-28 18:19:30","","39086","16","python"
"2174742","igaurav","2018-06-22 14:26:56","India","36932","16","python"
"3594211","Florian_1990","2018-05-22 07:03:43","","36901","16","python"
"125389","Kevin Panko","2018-06-04 21:16:01","Connecticut","47253","16","python"
"355230","martineau","2018-05-05 18:42:25","Seattle, WA","53162","16","python"
"115023","Nicolas Dumazet","2018-04-28 08:39:51","Zürich, Switzerland","53225","16","python"
"6547518","King's jester","2018-06-07 09:53:34","Europe","56820","16","python"
"5393381","MSeifert","2018-05-11 18:17:57","Heidelberg, Deutschland","59825","16","python"
"438157","Jerry Stratton","2018-06-06 16:45:58","Round Rock, TX","60208","16","python"
"2521769","Stefan van den Akker","2018-04-26 22:37:29","Utrecht, Netherlands","70528","16","python"
"560648","Lightness Races in Orbit","2018-06-11 00:00:29","","73663","16","python"
"8422953","braX","2018-05-29 19:00:35","Michigan","76882","16","python"
"5411817","SherylHohman","2018-06-25 19:11:20","California","77086","16","python"
"4400284","Obito","2018-04-13 08:46:20","Brooklyn","78799","16","python"
"4247268","StackzOfZtuff","2018-05-21 18:59:25","","79797","16","python"
"608639","jww","2018-04-30 00:55:48","Baltimore, MD and New York, NY","85451","16","python"
"63550","Peter Mortensen","2018-05-10 21:38:54","Gråsten, Denmark","88259","16","python"
"2956066","kmario23","2018-04-16 10:31:05","Deutschland","94935","16","python"
"374437","Veltzer Doron","2018-06-22 01:09:02","Israel","100003","16","python"
"811","Shog9","2018-04-15 23:32:41","Colorado, United States","100298","16","python"
"2940876","alizx","2018-06-14 16:01:40","","101128","16","python"
"3001761","jonrsharpe","2018-05-12 23:42:06","London, United Kingdom","104420","16","python"
"-1","Community","2018-06-07 04:03:58","on the server farm","118370","16","python"
"202229","smci","2018-05-22 00:09:35","Mountain View, CA","120656","16","python"
"3446","rcreswick","2018-06-14 12:40:38","Portland, OR","115977","16","python"
"3924118","nbro","2018-04-12 17:50:02","","111155","16","python"
"-1","Community","2018-06-18 06:05:23","on the server farm","108848","16","python"
"2597135","Uli Köhler","2018-05-20 12:06:32","Munich, Germany","102535","16","python"
"3274259","suci","2018-04-24 01:36:39","","68477","16","python"
"943010","kdopen","2018-06-08 12:29:47","Silicon Valley","50499","16","python"
"445087","JeffV","2018-06-21 04:44:03","Halifax, Nova Scotia Canada","49137","16","python"
"6027638","Pehlaj","2018-05-09 20:03:26","Karachi, Pakistan","101754","16","python"
"355230","martineau","2018-04-16 17:58:21","Seattle, WA","68645","16","python"
"2901002","jezrael","2018-05-29 01:59:11","Bratislava, Slovakia","123198","16","python"
"562769","Martin Thoma","2018-06-05 13:19:37","München, Deutschland","127803","16","python"
"541136","Aaron Hall","2018-05-03 18:23:29","NYC, NY, United States","128573","16","python"
"815724","Peter O.","2018-06-27 15:42:16","Watertown, MA","130763","16","python"
"-1","Community","2018-04-18 12:31:10","on the server farm","132058","16","python"
"63550","Peter Mortensen","2018-06-23 11:03:52","Gråsten, Denmark","134934","16","python"
"1000551","Vadim Kotov","2018-06-25 02:38:52","","136097","16","python"
"745","dbr","2018-06-20 11:49:34","Adelaide, Australia","136168","16","python"
"8330563","Matthew Smith","2018-06-17 06:49:49","","138250","16","python"
"42223","dreftymac","2018-06-11 16:24:32","Earth, USA","139180","16","python"
"355230","martineau","2018-04-20 07:47:05","Seattle, WA","141545","16","python"
"9191862","Ryan A.","2018-04-05 17:34:13","Barcelona, Spain","149307","16","python"
"67579","Willem Van Onsem","2018-05-01 07:17:50","Ypres, Belgium","151199","16","python"
"63550","Peter Mortensen","2018-05-21 06:57:27","Gråsten, Denmark","152580","16","python"
"18745","DzinX","2018-05-23 09:34:30","Poland","153584","16","python"
"239247","anatoly techtonik","2018-06-08 12:50:38","","166506","16","python"
"-1","Community","2018-04-17 23:03:09","on the server farm","171765","16","python"
"1902864","Josh Scholl","2018-04-10 11:10:08","Cedar Rapids, IA","180809","16","python"
"355230","martineau","2018-04-07 19:03:18","Seattle, WA","180986","16","python"
"355230","martineau","2018-06-02 13:25:42","Seattle, WA","181530","16","python"
"974555","gerrit","2018-06-28 15:06:23","Reading, England","189645","16","python"
"744859","Jav_Rock","2018-06-15 16:08:16","Spain","189943","16","python"
"444991","Matt","2018-06-04 11:48:17","London, United Kingdom","191010","16","python"
"42223","dreftymac","2018-05-12 08:17:18","Earth, USA","191536","16","python"
"1709587","Mark Amery","2018-06-12 20:16:16","London","192261","16","python"
